Rank,Player,PlayerName,Position,Team,Bye,Stock,Auction Value ($)
1,Antonio BrownWR - PITView News,Antonio Brown,WR,PIT,8,even,62
2,Odell BeckhamWR - NYG,Odell Beckham,WR,NYG,8,even,61
3,Julio JonesWR - ATL,Julio Jones,WR,ATL,11,even,59
4,David JohnsonRB - ARI,David Johnson,RB,ARI,9,even,51
5,Todd GurleyRB - LAView Video,Todd Gurley,RB,LAV,8,even,50
6,A.J. GreenWR - CINView Video,A.J. Green,WR,CIN,9,even,49
7,Adrian PetersonRB - MINView Video,Adrian Peterson,RB,MIN,6,even,48
8,Ezekiel ElliottRB - DAL,Ezekiel Elliott,RB,DAL,7,even,47
9,Rob GronkowskiTE - NE,Rob Gronkowski,TE,NE,9,even,46
10,Dez BryantWR - DAL,Dez Bryant,WR,DAL,7,even,46
11,DeAndre HopkinsWR - HOU,DeAndre Hopkins,WR,HOU,9,even,45
12,Lamar MillerRB - HOUView Video,Lamar Miller,RB,HOU,9,even,45
13,Devonta FreemanRB - ATLView Video,Devonta Freeman,RB,ATL,11,even,42
14,Allen RobinsonWR - JAX,Allen Robinson,WR,JAX,5,even,42
15,Jordy NelsonWR - GB,Jordy Nelson,WR,GB,4,even,39
16,Eddie LacyRB - GBView Video,Eddie Lacy,RB,GBV,4,even,38
17,Jamaal CharlesRB - KCView NewsView Video,Jamaal Charles,RB,KCV,5,even,35
18,Keenan AllenWR - SD,Keenan Allen,WR,SD,11,even,34
19,Mark IngramRB - NO,Mark Ingram,RB,NO,5,even,33
20,Doug MartinRB - TBView Video,Doug Martin,RB,TBV,6,even,33
21,Alshon JefferyWR - CHI,Alshon Jeffery,WR,CHI,9,even,32
22,Brandon MarshallWR - NYJ,Brandon Marshall,WR,NYJ,11,even,32
23,Mike EvansWR - TB,Mike Evans,WR,TB,6,even,32
24,LeSean McCoyRB - BUF,LeSean McCoy,RB,BUF,10,even,31
25,Aaron RodgersQB - GB,Aaron Rodgers,QB,GB,4,even,31
26,Cam NewtonQB - CARView Video,Cam Newton,QB,CAR,7,even,31
27,Amari CooperWR - OAKView Video,Amari Cooper,WR,OAK,10,even,28
28,Demaryius ThomasWR - DEN,Demaryius Thomas,WR,DEN,11,even,28
29,Le'Veon BellRB - PIT,Le'Veon Bell,RB,PIT,8,even,27
30,C.J. AndersonRB - DEN,C.J. Anderson,RB,DEN,11,even,27
31,Carlos HydeRB - SFView News,Carlos Hyde,RB,SFV,8,even,26
32,Matt ForteRB - NYJ,Matt Forte,RB,NYJ,11,even,25
33,Sammy WatkinsWR - BUFView NewsView Video,Sammy Watkins,WR,BUF,10,even,25
34,Jarvis LandryWR - MIA,Jarvis Landry,WR,MIA,8,even,25
35,Brandin CooksWR - NOView Video,Brandin Cooks,WR,NOV,5,even,24
36,Ryan MathewsRB - PHI,Ryan Mathews,RB,PHI,4,even,24
37,Jonathan StewartRB - CAR,Jonathan Stewart,RB,CAR,7,even,24
38,Jeremy MaclinWR - KC,Jeremy Maclin,WR,KC,5,even,24
39,Julian EdelmanWR - NE,Julian Edelman,WR,NE,9,even,23
40,Russell WilsonQB - SEA,Russell Wilson,QB,SEA,5,even,23
41,Jordan ReedTE - WAS,Jordan Reed,TE,WAS,9,even,23
42,Randall CobbWR - GB,Randall Cobb,WR,GB,4,even,22
43,T.Y. HiltonWR - IND,T.Y. Hilton,WR,IND,10,even,22
44,Eric DeckerWR - NYJView Video,Eric Decker,WR,NYJ,11,even,22
45,Doug BaldwinWR - SEA,Doug Baldwin,WR,SEA,5,even,22
46,Michael FloydWR - ARI,Michael Floyd,WR,ARI,9,even,21
47,John BrownWR - ARI,John Brown,WR,ARI,9,even,21
48,Greg OlsenTE - CAR,Greg Olsen,TE,CAR,7,even,21
49,Donte MoncriefWR - IND,Donte Moncrief,WR,IND,10,even,20
50,Golden TateWR - DET,Golden Tate,WR,DET,10,even,19
51,Latavius MurrayRB - OAK,Latavius Murray,RB,OAK,10,even,19
52,Jeremy HillRB - CIN,Jeremy Hill,RB,CIN,9,even,19
53,Giovani BernardRB - CIN,Giovani Bernard,RB,CIN,9,even,19
54,DeSean JacksonWR - WAS,DeSean Jackson,WR,WAS,9,even,17
55,Jordan MatthewsWR - PHI,Jordan Matthews,WR,PHI,4,even,17
56,Thomas RawlsRB - SEAView News,Thomas Rawls,RB,SEA,5,even,17
57,Danny WoodheadRB - SD,Danny Woodhead,RB,SD,11,even,16
58,Kelvin BenjaminWR - CAR,Kelvin Benjamin,WR,CAR,7,even,16
59,Emmanuel SandersWR - DEN,Emmanuel Sanders,WR,DEN,11,even,16
60,Arian FosterRB - MIA,Arian Foster,RB,MIA,8,even,16
61,Matt JonesRB - WAS,Matt Jones,RB,WAS,9,even,15
62,Duke JohnsonRB - CLE,Duke Johnson,RB,CLE,13,even,15
63,DeMarco MurrayRB - TEN,DeMarco Murray,RB,TEN,13,even,14
64,Tyler EifertTE - CIN,Tyler Eifert,TE,CIN,9,even,14
65,Drew BreesQB - NOView Video,Drew Brees,QB,NOV,5,even,14
66,Larry FitzgeraldWR - ARI,Larry Fitzgerald,WR,ARI,9,even,14
67,Michael CrabtreeWR - OAK,Michael Crabtree,WR,OAK,10,even,14
68,Jay AjayiRB - MIA,Jay Ajayi,RB,MIA,8,even,14
69,Carson PalmerQB - ARIView Video,Carson Palmer,QB,ARI,9,even,13
70,Chris IvoryRB - JAX,Chris Ivory,RB,JAX,5,even,13
71,Jeremy LangfordRB - CHI,Jeremy Langford,RB,CHI,9,even,13
72,Andrew LuckQB - IND,Andrew Luck,QB,IND,10,even,13
73,Corey ColemanWR - CLE,Corey Coleman,WR,CLE,13,even,12
74,Melvin GordonRB - SDView Video,Melvin Gordon,RB,SDV,11,even,12
75,Sterling ShepardWR - NYG,Sterling Shepard,WR,NYG,8,even,12
76,Torrey SmithWR - SF,Torrey Smith,WR,SF,8,even,12
77,Frank GoreRB - IND,Frank Gore,RB,IND,10,even,12
78,Ameer AbdullahRB - DET,Ameer Abdullah,RB,DET,10,even,11
79,Travis KelceTE - KC,Travis Kelce,TE,KC,5,even,11
80,Allen HurnsWR - JAX,Allen Hurns,WR,JAX,5,even,11
81,Tyler LockettWR - SEA,Tyler Lockett,WR,SEA,5,even,10
82,T.J. YeldonRB - JAX,T.J. Yeldon,RB,JAX,5,even,10
83,Gary BarnidgeTE - CLE,Gary Barnidge,TE,CLE,13,even,10
84,Rashad JenningsRB - NYG,Rashad Jennings,RB,NYG,8,even,9
85,Tom BradyQB - NE,Tom Brady,QB,NE,9,even,9
86,Charles SimsRB - TB,Charles Sims,RB,TB,6,even,9
87,Kevin WhiteWR - CHI,Kevin White,WR,CHI,9,even,8
88,Theo RiddickRB - DET,Theo Riddick,RB,DET,10,even,8
89,Delanie WalkerTE - TEN,Delanie Walker,TE,TEN,13,even,8
90,Kamar AikenWR - BAL,Kamar Aiken,WR,BAL,8,even,8
91,Derrick HenryRB - TEN,Derrick Henry,RB,TEN,13,even,8
92,Marvin JonesWR - DETView Video,Marvin Jones,WR,DET,10,even,8
93,DeVante ParkerWR - MIA,DeVante Parker,WR,MIA,8,even,8
94,Philip RiversQB - SD,Philip Rivers,QB,SD,11,even,8
95,Christine MichaelRB - SEA,Christine Michael,RB,SEA,5,even,7
96,Eli ManningQB - NYG,Eli Manning,QB,NYG,8,even,7
97,Ben RoethlisbergerQB - PIT,Ben Roethlisberger,QB,PIT,8,even,7
98,Tavon AustinWR - LA,Tavon Austin,WR,LA,8,even,7
99,Justin ForsettRB - BAL,Justin Forsett,RB,BAL,8,even,6
100,DeAngelo WilliamsRB - PIT,DeAngelo Williams,RB,PIT,8,even,6
101,Isaiah CrowellRB - CLEView Video,Isaiah Crowell,RB,CLE,13,even,6
102,Antonio GatesTE - SD,Antonio Gates,TE,SD,11,even,6
103,Bilal PowellRB - NYJ,Bilal Powell,RB,NYJ,11,even,6
104,Stefon DiggsWR - MINView Video,Stefon Diggs,WR,MIN,6,even,5
105,Blake BortlesQB - JAX,Blake Bortles,QB,JAX,5,even,5
106,Willie SneadWR - NO,Willie Snead,WR,NO,5,even,5
107,Julius ThomasTE - JAX,Julius Thomas,TE,JAX,5,even,5
108,LeGarrette BlountRB - NE,LeGarrette Blount,RB,NE,9,even,4
109,Markus WheatonWR - PIT,Markus Wheaton,WR,PIT,8,even,5
110,Coby FleenerTE - NOView Video,Coby Fleener,TE,NOV,5,even,5
111,Derek CarrQB - OAKView Video,Derek Carr,QB,OAK,10,even,5
112,Travis BenjaminWR - SD,Travis Benjamin,WR,SD,11,even,5
113,Terrance WestRB - BAL,Terrance West,RB,BAL,8,even,5
114,Andy DaltonQB - CINView Video,Andy Dalton,QB,CIN,9,even,5
115,Mohamed SanuWR - ATL,Mohamed Sanu,WR,ATL,11,even,5
116,Tevin ColemanRB - ATL,Tevin Coleman,RB,ATL,11,even,5
117,Josh DoctsonWR - WAS,Josh Doctson,WR,WAS,9,even,4
118,Marcus MariotaQB - TEN,Marcus Mariota,QB,TEN,13,even,4
119,Zach ErtzTE - PHIView Video,Zach Ertz,TE,PHI,4,even,4
120,Nelson AgholorWR - PHI,Nelson Agholor,WR,PHI,4,even,4
121,Vincent JacksonWR - TBView News,Vincent Jackson,WR,TBV,6,even,4
122,Jerick McKinnonRB - MIN,Jerick McKinnon,RB,MIN,6,even,4
123,Jameis WinstonQB - TBView NewsView Video,Jameis Winston,QB,TBV,6,even,4
124,Devontae BookerRB - DEN,Devontae Booker,RB,DEN,11,even,4
125,Kirk CousinsQB - WAS,Kirk Cousins,QB,WAS,9,even,3
126,Tyrod TaylorQB - BUFView Video,Tyrod Taylor,QB,BUF,10,even,3
127,James StarksRB - GB,James Starks,RB,GB,4,even,3
128,Pierre GarconWR - WAS,Pierre Garcon,WR,WAS,9,even,3
129,Jordan HowardRB - CHI,Jordan Howard,RB,CHI,9,even,3
130,Mike WallaceWR - BAL,Mike Wallace,WR,BAL,8,even,3
131,Laquon TreadwellWR - MINView Video,Laquon Treadwell,WR,MIN,6,even,3
132,Alfred MorrisRB - DAL,Alfred Morris,RB,DAL,7,even,3
133,Josh GordonWR - CLEView Video,Josh Gordon,WR,CLE,13,even,1
134,Dwayne AllenTE - IND,Dwayne Allen,TE,IND,10,even,3
135,Martellus BennettTE - NE,Martellus Bennett,TE,NE,9,even,3
136,C.J. ProsiseRB - SEA,C.J. Prosise,RB,SEA,5,even,2
137,Rishard MatthewsWR - TENView News,Rishard Matthews,WR,TEN,13,even,2
138,Phillip DorsettWR - IND,Phillip Dorsett,WR,IND,10,even,2
139,Zach MillerTE - CHI,Zach Miller,TE,CHI,9,even,2
140,Shane VereenRB - NYG,Shane Vereen,RB,NYG,8,even,2
141,Matthew StaffordQB - DET,Matthew Stafford,QB,DET,10,even,2
142,Tajae SharpeWR - TEN,Tajae Sharpe,WR,TEN,13,even,0
143,Javorius AllenRB - BAL,Javorius Allen,RB,BAL,8,even,1
144,Ryan TannehillQB - MIA,Ryan Tannehill,QB,MIA,8,even,1
145,Matt RyanQB - ATL,Matt Ryan,QB,ATL,11,even,1
146,Jimmy GrahamTE - SEAView News,Jimmy Graham,TE,SEA,5,even,1
147,Jason WittenTE - DAL,Jason Witten,TE,DAL,7,even,1
148,Seattle SeahawksDEF,#VALUE!,#VALUE!,#VALUE!,5,even,1
149,Darren SprolesRB - PHI,Darren Sproles,RB,PHI,4,even,1
150,Kansas City ChiefsDEF,#VALUE!,#VALUE!,#VALUE!,5,even,1
151,Denver BroncosDEF,#VALUE!,#VALUE!,#VALUE!,11,even,1
152,Arizona CardinalsDEF,#VALUE!,#VALUE!,#VALUE!,9,even,1
153,Spencer WareRB - KCView Video,Spencer Ware,RB,KCV,5,even,1
154,Ted GinnWR - CAR,Ted Ginn,WR,CAR,7,even,1
155,Jared CookTE - GB,Jared Cook,TE,GB,4,even,0
156,Houston TexansDEF,#VALUE!,#VALUE!,#VALUE!,9,even,1
157,Justin HardyWR - ATL,Justin Hardy,WR,ATL,11,even,1
158,Anquan BoldinWR - DET,Anquan Boldin,WR,DET,10,even,1
159,Carolina PanthersDEF,#VALUE!,#VALUE!,#VALUE!,7,even,1
160,Joe FlaccoQB - BAL,Joe Flacco,QB,BAL,8,even,1
161,Shaun DraughnRB - SFView News,Shaun Draughn,RB,SFV,8,even,1
162,Ryan FitzpatrickQB - NYJ,Ryan Fitzpatrick,QB,NYJ,11,even,1
163,Alex SmithQB - KC,Alex Smith,QB,KC,5,even,1
164,Los Angeles RamsDEF,#VALUE!,#VALUE!,#VALUE!,8,even,1
165,Eric EbronTE - DET,Eric Ebron,TE,DET,10,even,1
166,Chandler CatanzaroK - ARI,Chandler Catanzar,oK,ARI,9,even,1
167,Paul PerkinsRB - NYG,Paul Perkins,RB,NYG,8,even,1
168,Chris JohnsonRB - ARI,Chris Johnson,RB,ARI,9,even,1
169,Ronnie HillmanRB - DEN,Ronnie Hillman,RB,DEN,11,even,1
170,Graham GanoK - CAR,Graham Gan,oK,CAR,7,even,1
171,New England PatriotsDEF,#VALUE!,#VALUE!,#VALUE!,9,even,1
172,Steven HauschkaK - SEA,Steven Hauschk,aK,SEA,5,even,1
173,Cairo SantosK - KC,Cairo Santo,sK,KC,5,even,1
174,Kenny StillsWR - MIA,Kenny Stills,WR,MIA,8,even,0
175,Devin FunchessWR - CAR,Devin Funchess,WR,CAR,7,even,1
176,DeAndre WashingtonRB - OAK,DeAndre Washington,RB,OAK,10,even,0
177,Teddy BridgewaterQB - MINView NewsView Video,Teddy Bridgewater,QB,MIN,6,even,1
178,Cameron Artis-PayneRB - CAR,Cameron Artis-Payne,RB,CAR,7,even,1
179,Cincinnati BengalsDEF,#VALUE!,#VALUE!,#VALUE!,9,even,1
180,Minnesota VikingsDEF,#VALUE!,#VALUE!,#VALUE!,6,even,1
181,Chris BoswellK - PIT,Chris Boswel,lK,PIT,8,even,0
182,Dan BaileyK - DAL,Dan Baile,yK,DAL,7,even,0
183,Stephen GostkowskiK - NE,Stephen Gostkowsk,iK,NE,9,even,0
184,Jay CutlerQB - CHI,Jay Cutler,QB,CHI,9,even,0
185,Kenneth DixonRB - BAL,Kenneth Dixon,RB,BAL,8,even,0
186,Darren McFaddenRB - DAL,Darren McFadden,RB,DAL,7,even,1
187,Brock OsweilerQB - HOU,Brock Osweiler,QB,HOU,9,even,0
188,Dak PrescottQB - DALView Video,Dak Prescott,QB,DAL,7,even,0
189,Charles ClayTE - BUF,Charles Clay,TE,BUF,10,even,0
190,Robert WoodsWR - BUF,Robert Woods,WR,BUF,10,even,0
191,Clive WalfordTE - OAK,Clive Walford,TE,OAK,10,even,1
192,Will FullerWR - HOU,Will Fuller,WR,HOU,9,even,0
193,Dorial Green-BeckhamWR - PHI,Dorial Green-Beckham,WR,PHI,4,even,7
194,Breshad PerrimanWR - BAL,Breshad Perriman,WR,BAL,8,even,0
195,Kendall WrightWR - TEN,Kendall Wright,WR,TEN,13,even,1
196,Steve SmithWR - BAL,Steve Smith,WR,BAL,8,even,1
197,Sam BradfordQB - PHI,Sam Bradford,QB,PHI,4,even,0
198,Justin TuckerK - BAL,Justin Tucke,rK,BAL,8,even,0
199,Pittsburgh SteelersDEF,#VALUE!,#VALUE!,#VALUE!,8,even,0
200,Andre EllingtonRB - ARI,Andre Ellington,RB,ARI,9,even,0
