,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
1,Priest Holmes*+\HolmPr00,KAN,RB,30,16,16,0,1,0,0,0,320,1420,4.44,27,90,74,690,9.32,0,373,452.5,409.0,231,1,1
2,Ahman Green*\GreeAh00,GNB,RB,26,16,16,0,0,0,0,0,355,1883,5.30,15,60,50,367,7.34,5,345,397.5,363.0,203,2,2
3,LaDainian Tomlinson\TomlLa00,SDG,RB,24,16,16,1,1,21,1,0,313,1645,5.26,13,137,100,725,7.25,4,344,448.8,391.8,202,3,3
4,Jamal Lewis*+\LewiJa00,BAL,RB,24,16,16,0,0,0,0,0,387,2066,5.34,14,38,26,205,7.88,0,311,339.1,316.1,169,4,4
5,Randy Moss*+\MossRa00,MIN,WR,26,16,16,0,1,0,0,0,6,18,3.00,0,172,111,1632,14.70,17,267,380.5,321.5,163,1,5
6,Torry Holt*+\HoltTo00,STL,WR,27,16,15,0,0,0,0,0,1,5,5.00,0,183,117,1696,14.50,12,242,361.6,299.6,138,2,6
7,Clinton Portis*\PortCl00,DEN,RB,22,13,13,0,0,0,0,0,290,1591,5.49,14,51,38,314,8.26,0,277,319.0,292.5,135,5,7
8,Shaun Alexander*\AlexSh00,SEA,RB,26,16,15,0,0,0,0,0,326,1435,4.40,14,59,42,295,7.02,2,269,315.0,286.0,127,6,8
9,Deuce McAllister*\McAlDe00,NOR,RB,25,16,16,0,2,0,0,0,351,1641,4.68,8,87,69,516,7.48,0,264,335.7,292.2,122,7,9
10,Fred Taylor\TaylFr00,JAX,RB,27,16,16,0,0,0,0,0,345,1572,4.56,6,74,48,370,7.71,1,236,287.2,254.2,94,8,10
11,Chad Johnson*\JohnCh01,CIN,WR,25,16,14,0,0,0,0,0,0,0,,0,154,90,1355,15.06,10,196,288.5,240.5,91,3,11
12,Ricky Williams\WillRi00,MIA,RB,26,16,16,0,0,0,0,0,392,1372,3.50,9,62,50,351,7.02,1,232,284.8,250.3,90,9,12
13,Tony Gonzalez*+\GonzTo00,KAN,TE,27,16,16,0,0,0,0,0,0,0,,0,106,71,916,12.90,10,152,225.6,187.1,87,1,13
14,Anquan Boldin*\BoldAn00,ARI,WR,23,16,16,0,1,0,0,1,5,40,8.00,0,165,101,1377,13.63,8,188,291.2,236.2,83,4,14
15,Marvin Harrison*\HarrMa00,IND,WR,31,15,15,0,0,0,0,0,1,3,3.00,0,142,94,1272,13.53,10,188,283.5,232.5,83,5,15
16,Edgerrin James\JameEd00,IND,RB,25,13,13,0,0,0,0,0,310,1259,4.06,11,71,51,292,5.73,0,221,275.6,241.6,79,10,16
17,Hines Ward*\WardHi00,PIT,WR,27,16,16,0,0,0,0,0,11,61,5.55,0,156,95,1163,12.24,10,182,280.4,229.9,78,6,17
18,Derrick Mason*\MasoDe00,TEN,WR,29,16,16,0,0,0,0,0,3,11,3.67,0,133,95,1303,13.72,8,179,277.4,226.9,75,7,18
19,Travis Henry\HenrTr00,BUF,RB,25,15,15,0,1,0,0,1,331,1356,4.10,10,40,28,158,5.64,1,215,246.9,223.4,73,11,19
20,Santana Moss\MossSa00,NYJ,WR,24,16,12,0,0,0,0,0,10,67,6.70,0,117,74,1105,14.93,10,177,252.2,210.2,73,8,20
21,Stephen Davis*\DaviSt00,CAR,RB,29,14,14,0,0,0,0,0,318,1444,4.54,8,17,14,159,11.36,0,208,226.8,212.3,66,12,21
22,Darrell Jackson\JackDa00,SEA,WR,25,16,16,0,0,0,0,0,0,0,,0,130,68,1137,16.72,9,168,238.2,200.7,63,9,22
23,Daunte Culpepper*\CulpDa00,MIN,QB,26,14,14,295,454,3479,25,11,73,422,5.78,4,0,0,0,,0,285,294.4,280.4,62,1,23
24,Keenan McCardell*\McCaKe00,TAM,WR,33,16,16,0,0,0,0,0,0,0,,0,139,84,1174,13.98,8,165,257.9,212.4,61,10,24
25,Chris Chambers\ChamCh00,MIA,WR,25,16,16,0,0,0,0,0,4,30,7.50,0,130,64,963,15.05,11,165,231.8,196.3,61,11,25
26,Shannon Sharpe\SharSh00,DEN,TE,35,15,15,0,0,0,0,0,0,0,,0,94,62,770,12.42,8,125,190.0,156.0,60,2,26
27,Terrell Owens*\OwenTe00,SFO,WR,30,15,15,0,0,0,0,0,3,-2,-0.67,0,146,80,1102,13.78,9,164,247.0,204.0,60,12,27
28,Laveranues Coles*\ColeLa00,WAS,WR,26,16,16,0,0,0,0,0,10,39,3.90,0,159,82,1204,14.68,6,160,245.3,201.3,56,13,28
29,Joe Horn\HornJo00,NOR,WR,31,15,14,1,1,14,0,0,2,15,7.50,0,130,78,973,12.47,10,159,239.4,196.4,55,14,29
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
30,Steve Smith\SmitSt01,CAR,WR,24,16,11,0,0,0,0,0,11,42,3.82,0,142,88,1110,12.61,7,157,251.7,202.2,53,15,30
31,Peyton Manning*+\MannPe00,IND,QB,27,16,16,379,566,4267,29,10,28,26,0.93,0,1,1,-2,-2.00,0,271,282.1,275.6,48,2,31
32,Tiki Barber\BarbTi00,NYG,RB,28,16,16,0,0,0,0,0,278,1216,4.37,2,98,69,461,6.68,1,188,258.2,213.2,46,13,32
33,Moe Williams\WillMo00,MIN,RB,29,16,7,0,0,0,0,0,174,745,4.28,5,87,65,644,9.91,3,187,256.9,217.4,45,14,33
34,Domanick Williams\DaviDo01,HOU,RB,23,14,10,0,0,0,0,0,238,1031,4.33,8,68,47,351,7.47,0,186,237.2,205.7,44,15,34
35,Peter Warrick\WarrPe00,CIN,WR,26,15,14,0,0,0,0,0,18,157,8.72,0,122,79,819,10.37,7,140,229.6,183.1,35,16,35
36,Marshall Faulk\FaulMa00,STL,RB,30,11,11,0,0,0,0,0,209,818,3.91,10,61,45,290,6.44,1,177,227.8,199.3,35,16,36
37,Kevan Barlow\BarlKe00,SFO,RB,24,16,4,0,0,0,0,0,201,1024,5.09,6,44,35,307,8.77,1,175,213.6,187.6,33,17,37
38,Todd Heap*\HeapTo00,BAL,TE,23,16,16,0,0,0,0,0,3,21,7.00,0,112,57,693,12.16,3,97,156.9,124.9,33,3,38
39,Amani Toomer\ToomAm00,NYG,WR,29,16,16,0,0,0,0,0,1,5,5.00,0,152,63,1057,16.78,5,136,202.2,167.7,32,17,39
40,Trent Green*\GreeTr00,KAN,QB,33,16,16,330,523,4039,24,12,26,83,3.19,2,0,0,0,,0,254,266.4,260.9,30,3,40
41,Steve McNair*\McNaSt00,TEN,QB,30,14,14,250,400,3215,24,7,38,138,3.63,4,1,1,4,4.00,0,253,260.8,248.3,29,4,41
42,David Boston\BostDa00,SDG,WR,25,14,14,0,0,0,0,0,3,18,6.00,0,115,70,880,12.57,7,134,205.8,166.8,29,18,42
43,Matt Hasselbeck*\HassMa00,SEA,QB,28,16,16,313,513,3841,26,15,36,125,3.47,2,0,0,0,,0,252,271.1,263.1,29,5,43
44,Isaac Bruce\BrucIs00,STL,WR,31,15,15,2,2,66,0,0,2,17,8.50,0,119,69,981,14.22,5,132,204.4,166.9,28,19,44
45,Aaron Brooks\BrooAa00,NOR,QB,27,16,16,306,518,3546,24,8,54,175,3.24,2,1,0,0,,0,251,258.3,245.3,28,6,45
46,Curtis Martin\MartCu00,NYJ,RB,30,16,16,0,0,0,0,0,323,1308,4.05,2,53,42,262,6.24,0,169,216.0,188.0,27,18,46
47,Rudi Johnson\JohnRu00,CIN,RB,24,13,5,0,0,0,0,0,215,957,4.45,9,23,21,146,6.95,0,164,191.3,174.8,22,19,47
48,Reggie Wayne\WaynRe00,IND,WR,25,16,16,0,0,0,0,0,0,0,,0,107,68,838,12.32,7,126,196.8,159.8,21,20,48
49,Javon Walker\WalkJa00,GNB,WR,25,16,3,0,0,0,0,0,2,1,0.50,0,74,41,716,17.46,9,126,169.2,145.2,21,21,49
50,Justin McCareins\McCaJu00,TEN,WR,25,16,10,0,0,0,0,0,1,13,13.00,0,82,47,813,17.30,7,125,179.6,152.1,20,22,50
51,Brian Westbrook\WestBr00,PHI,RB,24,15,8,0,0,0,0,0,117,613,5.24,7,48,37,332,8.97,4,161,214.0,188.0,19,20,51
52,Andre Johnson\JohnAn02,HOU,WR,22,16,16,0,0,0,0,0,5,-10,-2.00,0,119,66,976,14.79,4,121,189.6,153.6,16,23,52
53,Eddie Kennison\KennEd00,KAN,WR,30,16,16,0,0,0,0,0,2,9,4.50,0,99,56,853,15.23,5,116,174.7,143.2,12,24,53
54,T.J. Duckett\DuckT.00,ATL,RB,22,16,10,0,1,0,0,0,197,779,3.95,11,13,11,94,8.55,0,153,165.8,155.8,11,21,54
55,Rod Smith\SmitRo01,DEN,WR,33,15,15,1,1,72,0,0,10,98,9.80,0,114,74,845,11.42,3,115,198.2,158.2,11,25,55
56,Koren Robinson\RobiKo00,SEA,WR,23,15,15,0,0,0,0,0,4,15,3.75,0,119,65,896,13.78,4,115,188.6,152.6,11,26,56
57,Boo Williams\WillBo00,NOR,TE,24,16,6,0,0,0,0,0,0,0,,0,62,41,436,10.63,5,74,117.6,94.1,9,4,57
58,Itula Mili\MiliIt00,SEA,TE,30,16,12,0,0,0,0,0,0,0,,0,62,46,492,10.70,4,73,122.2,96.2,8,6,58
59,Alge Crumpler*\CrumAl00,ATL,TE,26,16,16,0,0,0,0,0,0,0,,0,80,44,552,12.55,3,73,119.7,94.2,8,5,59
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
60,Marc Bulger*\BulgMa00,STL,QB,26,15,15,336,532,3845,22,22,29,75,2.59,4,0,0,0,,0,231,252.3,245.3,8,7,60
61,Eddie George\GeorEd00,TEN,RB,30,16,16,0,0,0,0,0,312,1031,3.30,5,31,22,163,7.41,0,149,176.9,159.4,7,22,61
62,Jeff Garcia\GarcJe00,SFO,QB,33,13,13,225,392,2704,18,13,56,319,5.70,7,1,1,6,6.00,0,231,246.2,235.2,7,8,62
63,Marcus Pollard\PollMa00,IND,TE,31,14,13,0,0,0,0,0,0,0,,0,57,40,541,13.53,3,72,114.6,91.1,7,7,63
64,Randy McMichael\McMiRa01,MIA,TE,24,16,16,0,0,0,0,0,0,0,,0,83,49,598,12.20,2,72,129.8,102.3,7,8,64
65,Terry Glenn\GlenTe00,DAL,WR,29,16,14,0,1,0,0,0,3,55,18.33,0,96,52,754,14.50,5,111,164.9,134.9,6,27,65
66,Jon Kitna\KitnJo00,CIN,QB,31,16,16,324,520,3591,26,15,38,113,2.97,0,0,0,0,,0,229,245.4,234.9,6,9,66
67,Michael Pittman\PittMi00,TAM,RB,28,16,13,0,0,0,0,0,187,751,4.02,0,121,75,597,7.96,2,147,225.8,180.3,5,23,67
68,Plaxico Burress\BurrPl00,PIT,WR,26,16,16,0,0,0,0,0,1,-7,-7.00,0,124,60,860,14.33,4,109,171.8,138.3,5,28,68
69,Freddie Jones\JoneFr00,ARI,TE,29,16,16,0,0,0,0,0,0,0,,0,89,55,517,9.40,3,70,127.7,97.2,5,9,69
70,Johnnie Morton\MortJo00,KAN,WR,32,16,16,0,0,0,0,0,8,94,11.75,0,92,50,740,14.80,4,107,160.4,132.4,3,29,70
71,Brett Favre*\FavrBr00,GNB,QB,34,16,16,308,471,3361,32,21,18,15,0.83,0,0,0,0,,0,226,247.4,241.9,3,10,71
72,Tom Brady\BradTo00,NWE,QB,26,16,16,317,527,3620,23,12,42,63,1.50,1,0,0,0,,0,225,233.6,224.1,2,11,72
73,Jim Kleinsasser\KleiJi00,MIN,TE,26,16,16,0,0,0,0,0,2,15,7.50,0,59,46,401,8.72,4,66,114.6,88.6,1,10,73
74,Jeremy Shockey*\ShocJe00,NYG,TE,23,9,9,0,0,0,0,0,0,0,,0,70,48,535,11.15,2,66,116.0,88.5,1,11,74
75,Tom Lopienski\LopiTo20,IND,,24,4,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,11,75
76,Andrew Pinnock\PinnAn00,SDG,,23,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,3,76
77,Malaefou MacKenzie\MacKMa20,JAX,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,10,77
78,Jimmy Smith\SmitJi00,JAX,WR,34,12,12,0,0,0,0,0,0,0,,0,112,54,805,14.91,4,105,161.0,130.5,,30,78
79,Donovan McNabb*\McNaDo00,PHI,QB,27,16,16,275,478,3216,16,11,71,355,5.00,3,1,1,-7,-7.00,0,223,236.9,225.9,,12,
80,Brad Johnson\JohnBr00,TAM,QB,35,16,16,354,570,3811,26,21,25,33,1.32,0,1,0,-2,,0,220,240.5,234.5,,13,
81,Quincy Carter\CartQu00,DAL,QB,26,16,16,292,505,3302,17,21,68,257,3.78,2,0,0,0,,0,196,217.8,206.8,,14,
82,Jake Delhomme\DelhJa00,CAR,QB,28,16,15,266,449,3219,19,16,42,39,0.93,1,0,0,0,,0,183,194.2,183.7,,15,
83,Tommy Maddox\MaddTo00,PIT,QB,32,16,16,298,519,3414,18,17,13,12,0.92,0,0,0,0,,0,176,193.3,187.8,,16,
84,Jake Plummer\PlumJa00,DEN,QB,29,11,11,189,302,2182,15,7,37,205,5.54,3,0,0,0,,0,172,182.8,174.8,,17,
85,Byron Leftwich\LeftBy00,JAX,QB,23,15,13,239,418,2819,14,16,25,108,4.32,2,0,0,0,,0,160,176.1,164.6,,18,
86,Joey Harrington\HarrJo00,DET,QB,25,16,16,309,554,2880,17,22,30,86,2.87,0,1,1,8,8.00,0,153,175.6,169.1,,19,
87,Kerry Collins\CollKe00,NYG,QB,31,13,13,284,500,3110,13,16,17,49,2.88,0,0,0,0,,0,151,164.3,155.3,,20,
88,Drew Bledsoe\BledDr00,BUF,QB,31,16,16,274,471,2860,11,12,24,29,1.21,2,0,0,0,,0,149,156.8,146.3,,21,
89,Jeff Blake\BlakJe00,ARI,QB,33,13,13,208,367,2247,13,15,30,177,5.90,2,0,0,0,,0,144,160.6,150.6,,22,
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
90,Anthony Thomas\ThomAn01,CHI,RB,26,13,13,0,0,0,0,0,244,1024,4.20,6,14,9,36,4.00,0,142,153.5,145.5,,24,
91,Patrick Ramsey\RamsPa00,WAS,QB,24,11,11,179,337,2166,14,9,15,62,4.13,1,0,0,0,,0,141,148.8,141.8,,23,
92,Troy Hambrick\HambTr00,DAL,RB,27,16,16,0,0,0,0,0,275,972,3.53,5,24,17,99,5.82,0,137,155.1,141.6,,25,
93,Jerome Bettis\BettJe00,PIT,RB,31,16,10,0,0,0,0,0,246,811,3.30,7,22,13,86,6.62,0,134,147.2,135.2,,26,
94,Chad Pennington\PennCh01,NYJ,QB,27,10,9,189,297,2139,13,12,21,42,2.00,2,0,0,0,,0,132,142.8,135.8,,24,
95,Warrick Dunn\DunnWa00,ATL,RB,28,11,6,0,0,0,0,0,125,672,5.38,3,52,37,336,9.08,2,131,172.8,147.3,,27,
96,Jay Fiedler\FiedJa00,MIA,QB,32,12,11,179,314,2138,11,13,34,88,2.59,3,0,0,0,,0,130,142.8,136.3,,25,
97,Duce Staley\StalDu00,PHI,RB,28,16,4,0,0,0,0,0,96,463,4.82,5,47,36,382,10.61,2,127,167.5,142.5,,28,
98,Correll Buckhalter\BuckCo00,PHI,RB,25,15,5,0,0,0,0,0,126,542,4.30,8,14,10,133,13.30,1,122,136.0,123.5,,30,
99,Garrison Hearst\HearGa00,SFO,RB,32,12,12,0,0,0,0,0,178,768,4.31,3,38,25,211,8.44,1,122,151.9,132.4,,29,
100,David Carr\CarrDa00,HOU,QB,24,12,11,167,295,2013,9,13,27,151,5.59,2,1,0,0,,0,118,134.6,126.6,,26,
101,Charlie Garner\GarnCh00,OAK,RB,31,14,9,0,0,0,0,0,120,553,4.61,3,70,48,386,8.04,1,118,171.4,140.9,,31,
102,Drew Brees\BreeDr00,SDG,QB,24,11,11,205,356,2108,11,15,21,84,4.00,0,1,1,21,21.00,1,117,133.3,127.3,,27,
103,Shawn Bryson\BrysSh00,DET,RB,27,16,13,0,0,0,0,0,158,606,3.84,3,72,54,340,6.30,0,113,171.6,137.6,,32,
104,Richie Anderson\AndeRi00,DAL,RB,32,15,8,0,1,0,0,0,70,306,4.37,1,87,69,493,7.14,4,110,184.4,143.4,,33,
105,Kevin Faulk\FaulKe00,NWE,RB,27,15,8,0,1,0,0,0,178,638,3.58,0,67,48,440,9.17,0,110,159.8,127.8,,34,
106,Kordell Stewart\StewKo00,CHI,QB,31,9,7,126,251,1418,7,12,59,290,4.92,3,0,0,0,,0,110,124.2,114.7,,28,
107,Tyrone Wheatley\WheaTy00,OAK,RB,31,15,5,0,0,0,0,0,159,678,4.26,4,18,12,120,10.00,0,104,120.8,107.8,,35,
108,Doug Flutie\FlutDo00,SDG,QB,41,7,5,91,167,1097,9,4,33,168,5.09,2,0,0,0,,0,103,109.2,99.7,,29,
109,Onterrio Smith\SmitOn00,MIN,RB,23,15,3,0,0,0,0,0,107,579,5.41,5,20,15,129,8.60,0,103,123.3,109.3,,36,
110,Muhsin Muhammad\MuhaMu00,CAR,WR,30,15,15,0,0,0,0,0,2,-2,-1.00,0,100,54,837,15.50,3,102,157.0,125.5,,32,
111,Peerless Price\PricPe00,ATL,WR,27,16,15,0,0,0,0,0,2,3,1.50,0,141,64,838,13.09,3,102,169.1,134.1,,31,
112,Tai Streets\StreTa00,SFO,WR,26,16,16,0,0,0,0,0,0,0,,0,85,47,595,12.66,7,102,151.5,125.0,,33,
113,Marcel Shipp\ShipMa00,ARI,RB,25,16,11,0,0,0,0,0,228,830,3.64,0,37,30,184,6.13,0,101,135.9,113.4,,37,
114,Bobby Engram\EngrBo00,SEA,RB,30,16,7,0,0,0,0,0,0,0,,0,75,52,637,12.25,6,100,158.2,126.7,,38,
115,Rod Gardner\GardRo00,WAS,WR,26,16,16,2,3,46,2,0,0,0,,0,115,59,600,10.17,5,100,161.3,128.3,,34,
116,Deion Branch\BranDe00,NWE,WR,24,15,12,0,0,0,0,0,1,11,11.00,0,104,57,803,14.09,3,99,159.4,127.9,,35,
117,Ike Hilliard\HillIk00,NYG,WR,27,13,12,0,0,0,0,0,2,19,9.50,0,102,60,608,10.13,6,99,160.7,126.7,,37,
118,Thomas Jones\JoneTh00,TAM,RB,25,16,3,0,0,0,0,0,137,627,4.58,3,31,24,180,7.50,0,99,126.7,106.7,,39,
119,Jerry Rice\RiceJe00,OAK,WR,41,16,15,0,1,0,0,0,0,0,,0,124,63,869,13.79,2,99,163.9,128.4,,36,
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
120,Bobby Shaw\ShawBo00,BUF,WR,28,16,7,0,0,0,0,0,0,0,,0,86,56,732,13.07,4,97,155.7,124.2,,38,
121,Marty Booker\BookMa00,CHI,WR,27,13,13,0,0,0,0,0,3,-7,-2.33,0,105,52,715,13.75,4,95,149.3,119.8,,39,
122,Dennis Northcutt\NortDe00,CLE,WR,26,15,6,0,1,0,0,0,12,83,6.92,0,93,62,729,11.76,2,93,157.2,122.2,,40,
123,Antowain Smith\SmitAn00,NWE,RB,31,13,6,0,0,0,0,0,182,642,3.53,3,16,14,92,6.57,0,91,107.9,97.4,,40,
124,Andre' Davis\DaviAn01,CLE,WR,24,16,8,0,0,0,0,0,5,28,5.60,0,55,40,576,14.40,5,90,132.4,108.4,,41,
125,Kelly Holcomb\HolcKe00,CLE,QB,30,10,8,193,302,1797,10,12,8,7,0.88,0,0,0,0,,0,89,101.1,95.6,,30,
126,Travis Taylor\TaylTr01,BAL,WR,24,16,16,0,0,0,0,0,11,62,5.64,0,90,39,632,16.21,3,87,129.4,106.9,,42,
127,Amos Zereoue\ZereAm00,PIT,RB,27,16,6,0,0,0,0,0,132,433,3.28,2,52,40,310,7.75,0,86,132.3,106.3,,41,
128,David Givens\GiveDa00,NWE,WR,23,13,5,0,1,0,0,1,0,0,,0,54,34,510,15.00,6,85,123.0,103.0,,43,
129,Eric Moulds\MoulEr00,BUF,WR,30,13,13,0,0,0,0,0,0,0,,0,121,64,780,12.19,1,84,151.0,116.0,,44,
